종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"267250","HD현대","KOSPI",,"77400","800","1.04","77200","77600","75800","87988","6770471600","6114064779000","78993085"
"267270","HD현대건설기계","KOSPI",,"46850","-2050","-4.19","48900","48900","46450","199008","9381400600","882986447600","18847096"
"443060","HD현대마린솔루션","KOSPI",,"102900","-500","-0.48","103500","105700","102100","117797","12144730500","4573905000000","44450000"
"071970","HD현대마린엔진","KOSPI",,"16260","-210","-1.28","16320","16360","15660","472699","7590544990","551495932140","33917339"
"010620","HD현대미포","KOSPI",,"94600","-1800","-1.87","96400","97400","93200","219654","20794128700","3778527295400","39942149"
"322000","HD현대에너지솔루션","KOSPI",,"23050","-650","-2.74","23600","23950","22900","120794","2804361250","258160000000","11200000"
"042670","HD현대인프라코어","KOSPI",,"6650","-50","-0.75","6680","6730","6530","718901","4746654960","1281161515550","192655867"
"267260","HD현대일렉트릭","KOSPI",,"239000","-6000","-2.45","245000","245500","228500","691238","164171532500","8615265265000","36047135"
"329180","HD현대중공업","KOSPI",,"175900","-3000","-1.68","179700","179700","172300","197549","34558131800","15615191104400","88773116"
"097230","HJ중공업","KOSPI",,"2710","-75","-2.69","2780","2830","2700","85944","233947905","225673301510","83274281"
"195940","HK이노엔","KOSDAQ GLOBAL","중견기업부","44550","-100","-0.22","44000","45200","43250","384735","17086691450","1262096644050","28329891"
"014790","HL D&I","KOSPI",,"2565","-35","-1.35","2600","2640","2540","89009","227622050","97107311565","37858601"
"028300","HLB","KOSDAQ","중견기업부","85400","-2100","-2.40","87800","87900","84100","816811","69621262300","11177610085600","130885364"
"003580","HLB글로벌","KOSPI",,"5030","-90","-1.76","5140","5140","4975","133687","669314930","238872642730","47489591"
"278650","HLB바이오스텝","KOSDAQ","우량기업부","2380","-55","-2.26","2500","2500","2375","156731","375155785","206418801820","86730589"
"343090","HLB사이언스","KONEX","일반기업부","2185","-5","-0.23","2275","2275","2120","657","1407330","35922289295","16440407"
"067630","HLB생명과학","KOSDAQ","중견기업부","11180","-130","-1.15","11310","11310","10970","397085","4412111920","1326767180960","118673272"
"024850","HLB이노베이션","KOSDAQ","중견기업부","3210","-190","-5.59","3400","3420","3190","678932","2204770100","289381333080","90149948"
"047920","HLB제약","KOSDAQ","기술성장기업부","26250","-600","-2.23","26950","26950","25700","203650","5327266950","834749842500","31799994"
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부","8690","-210","-2.36","8900","8900","8500","326260","2809688040","696416017770","80139933"
"046210","HLB파나진","KOSDAQ","벤처기업부","3310","0","0.00","3345","3415","3230","76202","249317810","139657214720","42192512"
"204320","HL만도","KOSPI",,"32100","50","0.16","32050","32300","31600","160127","5130174950","1507323552000","46957120"
"060980","HL홀딩스","KOSPI",,"34600","-100","-0.29","34750","34850","34350","12146","420461500","351861586000","10169410"
"011200","HMM","KOSPI",,"16270","-530","-3.15","16710","16870","16220","761044","12518367070","12186872599920","749039496"
"403870","HPSP","KOSDAQ GLOBAL","중견기업부","24550","-750","-2.96","25200","25350","24300","638938","15692301350","2036033235200","82934144"
"036640","HRS","KOSDAQ","우량기업부","5230","275","5.55","4955","5450","4855","975505","5125700970","85535604000","16354800"
"035000","HS애드","KOSPI",,"6340","-40","-0.63","6380","6380","6340","4376","27784220","105037373060","16567409"
"002460","HS화성","KOSPI",,"8830","-80","-0.90","8880","8910","8800","7092","62683960","89624500000","10150000"
"487570","HS효성","KOSPI",,"41900","-1050","-2.44","42800","43150","40800","11878","500684600","156116341300","3725927"
"439730","IBKS제20호스팩","KOSDAQ","SPAC(소속부없음)","2260","20","0.89","2275","2275","2230","1596","3576025","9740600000","4310000"
"442770","IBKS제21호스팩","KOSDAQ","SPAC(소속부없음)","2225","-15","-0.67","2240","2240","2205","763","1688435","9367250000","4210000"
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)","2200","-15","-0.68","2210","2210","2185","1722","3775115","9746000000","4430000"
